gameid,team_name,match_date,result,gold_at15,xp_at15,cs_at15,gold_diff_at15,xp_diff_at15,cs_diff_at15,kills_at_15,assists_at15,deaths_at15
ESPORTSTMNT03/1310258,Gamespace Mediterranean College Esports,2020-01-19 17:05:14,1,25497.0,28306.0,510.0,2464.0,512.0,82.0,3.0,5.0,6.0
ESPORTSTMNT03/1310275,WLGaming Esports,2020-01-19 18:18:43,0,22788.0,27319.0,451.0,-6228.0,-4447.0,-62.0,4.0,8.0,12.0
ESPORTSTMNT03/1310275,Intrepid Fox Gaming,2020-01-19 18:18:43,1,29016.0,31766.0,513.0,6228.0,4447.0,62.0,12.0,22.0,4.0
ESPORTSTMNT03/1310284,Pyrsos Esports,2020-01-19 19:09:57,1,27476.0,31739.0,462.0,5682.0,5670.0,51.0,12.0,18.0,2.0
ESPORTSTMNT03/1310284,Laughing Coffins,2020-01-19 19:09:57,0,21794.0,26069.0,411.0,-5682.0,-5670.0,-51.0,2.0,4.0,12.0
ESPORTSTMNT03/1310443,Gamespace Mediterranean College Esports,2020-01-20 16:20:29,0,23498.0,27881.0,444.0,-2444.0,-1128.0,-11.0,5.0,6.0,11.0
ESPORTSTMNT03/1310443,Team Refuse,2020-01-20 16:20:29,1,25942.0,29009.0,455.0,2444.0,1128.0,11.0,11.0,22.0,5.0
ESPORTSTMNT01/1280296,RSC Anderlecht Esports,2020-01-20 17:29:17,1,26413.0,27139.0,461.0,4158.0,122.0,-22.0,8.0,17.0,1.0
ESPORTSTMNT01/1280296,Brussels Guardians,2020-01-20 17:29:17,0,22255.0,27017.0,483.0,-4158.0,-122.0,22.0,1.0,2.0,8.0
ESPORTSTMNT03/1310475,Intrepid Fox Gaming,2020-01-20 17:44:23,1,26247.0,28337.0,468.0,5140.0,1754.0,74.0,7.0,10.0,2.0
ESPORTSTMNT03/1310475,Pyrsos Esports,2020-01-20 17:44:23,0,21107.0,26583.0,394.0,-5140.0,-1754.0,-74.0,2.0,3.0,7.0
ESPORTSTMNT01/1280306,Sector One,2020-01-20 18:12:34,1,22987.0,28610.0,504.0,-494.0,-107.0,28.0,3.0,5.0,5.0
ESPORTSTMNT01/1280306,Timeout Esports,2020-01-20 18:12:34,0,23481.0,28717.0,476.0,494.0,107.0,-28.0,5.0,9.0,3.0
ESPORTSTMNT01/1280315,Brussels Guardians,2020-01-20 19:07:12,1,23810.0,29857.0,505.0,1028.0,742.0,-5.0,5.0,10.0,2.0
ESPORTSTMNT01/1280315,KV Mechelen Esports,2020-01-20 19:07:12,0,22782.0,29115.0,510.0,-1028.0,-742.0,5.0,2.0,3.0,5.0
ESPORTSTMNT03/1310493,LUL Esports,2020-01-20 19:10:26,0,22270.0,26848.0,438.0,-1368.0,-1452.0,-50.0,4.0,11.0,4.0
